Date,Month,Year,Title,Director,Cast,Genre,Budget,Box Office
9,Dec,2016,Kahaani 2,Sujoy Ghosh,"Vidya Balan, Arjun Rampal, Jugal Hansraj",Thriller,350,328
16,Dec,2016,Befikre,Aditya Chopra,"Ranveer Singh, Vaani Kapoor",Romance,700,600
16,Dec,2016,Wajah Tum Ho,Vishal Pandya,"Sana Khan, Sharman Joshi, Gurmeet Choudhary",Romance/drama,130,105
16,Dec,2016,Dangal,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Zaira Wasim",Biopic,900,3873.9
20,Jan,2017,Coffee with D,Vishal Mishra,"Sunil Grover , Zakir Hussain","Comedy,crime",80,5
13,Jan,2017,Haraamkhor,Shlok Sharma,"Nawazuddin Siddiqui , Shweta Tripathi","Comedy,Crime",23,22.7
25,Jan,2017,Kaabil,Sanjay Gupta,"Hrithik Roshan , Yami Gautam","Action,Thriller",500,1760
13,Jan,2017,Ok Jaanu,Shaad Ali,"Aditya Roy Kapur , Shraddha Kapoor","Romance,Drama",270,410
25,Jan,2017,Raees,Rahul Dholakia,"Shah Rukh Khan, Mahira Khan , Nawazuddin Siddiqui","Crime,Action",1270,3080
17,Feb,2017,Chauhar,Raghubeer Singh,"Amit Singh Kashyap, Richa Dixit, Vivek Jha",Romance,0,0
10,Feb,2017,Hind Ka Napak Ko Jawab: MSG Lion Heart 2,Gurmeet Ram Rahim Singh and Honeypreet Insan,"Gurmeet Ram Rahim Singh, Honeypreet Insan","Action,Drama",120,176
17,Feb,2017,Irada,Aparnaa Singh,"Naseeruddin Shah, Arshad Warsi, Sharad Kelkar , Divya Dutta","Thriller,Drama",75,11
10,Feb,2017,Jolly LLB 2,Subhash Kapoor,"Akshay Kumar, Huma Qureshi , Saurabh Shukla",Drama,300,1970
24,Feb,2017,Mona Darling,Shashi Sudigala,"Anshuman Jha, Divya Menon, Suzanna Mukherjee, Sanjay Suri",Thriller,0,0
24,Feb,2017,Rangoon,Vishal Bhardwaj,"Kangana Ranaut, Shahid Kapoor , Saif Ali Khan","War,Drama",800,410
17,Feb,2017,Runningshaadi.com,Amit Roy,"Taapsee Pannu, Amit Sadh , Arsh Bajwa",Comedy,85,134
17,Feb,2017,The Ghazi Attack,Sankalp Reddy,"Rana Daggubati, Taapsee Pannu, Kay Kay Menon , Atul Kulkarni",Action,160,345
24,Feb,2017,Wedding Anniversary,Shekhar S Jha,"Nana Patekar, Mahie Gill, Priyanshu Chatterjee , Shruti Marathe","Romance,Thriller",0,2.4
17,Mar,2017,Aa Gaya Hero,Dipankar Senapati,"Govinda, Ashutosh Rana , Murali Sharma","Action,Comedy",85,13.9
24,Mar,2017,Anaarkali of Aarah,Avinash Das,Swara Bhaskar,Drama,50,10
10,Mar,2017,Badrinath Ki Dulhania,Shashank Khaitan,"Varun Dhawan , Alia Bhatt","Romance,Comedy",450,2069.5
24,Mar,2017,Bhanwarey,Shaurya Singh,"Shaurya Singh, Karan Thakur, Jashan Singh , Priyanka Shukla",Comedy,26,12
3,Mar,2017,Commando 2,Deven Bhojani,"Vidyut Jammwal, Adah Sharma , Esha Gupta",Action,300,260
3,Mar,2017,Jeena Isi Ka Naam Hai,Keshhav Panneriy,"Arbaaz Khan, Ashutosh Rana , Himansh Kohli","Romance,Drama",200,3.15
17,Mar,2017,Machine,Abbas Mustan,"Mustafa Burmawalla , Kiara Advani","Romance,Thriller",300,237
31,Mar,2017,Naam Shabana,Shivam Nair,"Taapsee Pannu, Prithviraj Sukumaran , Akshay Kumar","Action,Thriller",400,367.6
24,Mar,2017,Phillauri,Anshai Lal,"Anushka Sharma, Diljit Dosanjh, Suraj Sharma , Mehreen Pirzada","Romance,Comedy",290,466
31,Mar,2017,Poorna: Courage Has No Limit,Rahul Bose,"Aditi Inamdar, Rahul Bose , Heeba Shah",Thriller,50,33.2
17,Mar,2017,Trapped,Vikramaditya Motwane,"Rajkummar Rao, Geetanjali Thapa , Khushboo Upadhyay",Thriller,50,35.3
21,Apr,2017,Ajab Singh Ki Gajab Kahani,Rishi Prakash Mishra,"Yashpal Sharma, Ajay Kumar Singh, Rajesh Jais","Thriller,Drama",50,0.4
14,Apr,2017,Begum Jaan,Srijit Mukherji,"Vidya Balan, Ila Arun, Gauhar Khan, Sumit Nijhawan , Chunky Pandey",Period Drama,190,209.1
21,Apr,2017,Ek Thi Rani Aisi Bhi,Gulbahar Singh,"Hema Malini, Vinod Khanna, Sachin Khedekar",Biopic,50,0.5
7,Apr,2017,Laali Ki Shaadi Mein Laaddoo Deewana,Manish Harishankar,"Vivaan Shah, Akshara Haasan, Gurmeet Choudhary , Kavita Verma","Comedy,Drama",200,8.1
21,Apr,2017,Maatr,Ashtar Sayed,Raveena Tandon,"Thriller,Drama",50,23.1
7,Apr,2017,Mirza Juuliet,Rajesh Ram Singh,"Darshan Kumar, Pia Bajpai , Chandan Roy Sanyal","Comedy,Drama",50,6.1
7,Apr,2017,Mukti Bhawan,Shubhashish Bhutiani,"Adil Hussain, Lalit Behl , Navnindra Behl",Drama,50,4.7
21,Apr,2017,Noor,Sunhil Sippy,"Sonakshi Sinha, Purab Kohli , Manish Chaudhary","Comedy,Drama",220,75.8
14,Apr,2017,Romeo N Bullet,Aditya Kumar,"Vije Bhatia, Rishi Verma,Mohit Baisla, Raj Kumar",Romance,0,0
14,Apr,2017,Saanjh,Ajay Saklani,"Aditi Charak, Vishal Parpagga , Rupeshwari Sharma",Drama,0,0
26,May,2017,Chakallaspur,Rajnish Jaiswal,"Mukesh Manas, Urmilaa Mahanta","Romance,Drama",12,0.21
19,May,2017,Half Girlfriend,Mohit Suri,"Arjun Kapoor , Shraddha Kapoor","Romance,Drama",480,603.3
