Date,Month,Year,Title,Director,Cast,Genre,Budget,Box Office
1,Jan,2016,Monsoon Shootout,Amit Kumar,"Nawazuddin Siddiqui, Tannishtha Chatterjee, Neeraj Kabi, Sreejita De",Neo-noir,28,28
8,Jan,2016,Wazir,Bejoy Nambiar,"Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, John Abraham, Neil Nitin Mukesh",Thriller,56,420
15,Jan,2016,Chalk n Duster,Jayant Gilatar,"Shabana Azmi, Juhi Chawla, Divya Dutta, Zarina Wahab, Arya Babbar, Richa Chadha",Drama,30,57
15,Jan,2016,Rebellious Flower,Krishan Hooda,"Prince Shah, Shashank Singh, Mantra Mugdha, Kirti Adarkar, Bachchan Pachera, Shaneel Sinha",Biopic,19,3
22,Jan,2016,Airlift,Raja Krishna Menon,"Akshay Kumar, Nimrat Kaur, Purab Kohli, Ferena Wazeir, Gunjan Malhotra",War/thriller,400,1290
22,Jan,2016,Jugni,Shefali Bhushan,"Sugandha Garg, Siddhant Behl, Sadhana Singh, Anuritta K Jha, Samir Sharma",Musical drama,4,21
22,Jan,2016,Kyaa Kool Hain Hum 3,Umesh Ghadge,"Tushar Kapoor, Aftab Shivdasani, Mandana Karimi, Meghna Naidu, Darshan Jariwala, Krushna Abhishek, Claudia Ciesla, Riteish Deshmukh, Gauhar Khan, Gizele Thakral, VJ Andy, Danny Saru",Adult comedy,280,302.5
29,Jan,2016,Saala Khadoos,Sudha Kongara Prasad,"R. Madhavan, Ritika Singh",Sports,220,147.5
29,Jan,2016,Mastizaade,Milap Milan Zaveri,"Tushar Kapoor, Vir Das, Sunny Leone, Shaad Randhawa, Riteish Deshmukh, Gizele Thakral, Bruna Abdullah",Adult comedy,300,384.2
5,Feb,2016,Sanam Teri Kasam,"Radhika Rao, Vinay Sapru","Mawra Hocane, Harshvardhan Rane, Anurag Sinha, Shraddha Das",Romance,210,90
5,Feb,2016,Ghayal Once Again,Sunny Deol,"Sunny Deol, Soha Ali Khan, Aanchal Munjal, Daina Khan, Shivam Patil, Rishabh Arora, Abhilash Kumar",Drama/action,400,400
12,Feb,2016,Fitoor,Abhishek Kapoor,"Aditya Roy Kapoor, Katrina Kaif, Tabu, Ajay Devgn, Aditi Rao Hydari, Akshay Oberoi, Lara Dutta, Rahul Bhatt",Romance/drama,600,186.1
12,Feb,2016,Sanam Re,Divya Khosla Kumar,"Pulkit Samrat, Yami Gautam, Urvashi Rautela, Rishi Kapoor, Divya Khosla Kumar, Bharti Singh, Shreyas Pardiwalla",Romance,205,303.2
19,Feb,2016,Direct Ishq,Rajiv S. Ruia,"Rajneesh Duggal, Nidhi Subbaiah, Arjun Bijlani",Drama,28,32
19,Feb,2016,Ishq Forever,Sameer Sippy,"Krishna Chaturvedi, Ruhi Singh, Javed Jaffrey, Lisa Ray",Drama,70,2
19,Feb,2016,LoveShhuda,Vaibhav Mishra,"Girish Kumar, Navneet Kaur Dhillon, Benaf Dadachandji, Yash Pandit",Romance,200,57
19,Feb,2016,Neerja,Ram Madhvani,"Sonam Kapoor, Shabana Azmi, Shekhar Ravjiani",Biopic/drama,250,756.1
26,Feb,2016,Dhara 302,Jitender Singh Narukal,"Rufy Khan, Dipti Dhotre, Gulshan Pandey",Action/drama,62,40
26,Feb,2016,Aligarh,Hansal Mehta,"Manoj Bajpayee, Rajkummar Rao",Biopic/drama,180,20
26,Feb,2016,Bollywood Diaries,K.D. Satyam,"Raima Sen, Ashish Vidyarthi, Salim Diwan, Karuna Pandey, Vineet Kumar Singh",Drama,18,6
26,Feb,2016,Love Shagun,Sandesh Nayak,"Anuj Sachdeva, Nidhi Subbaiah, Manit Joura",Romance/comedy,33,61
26,Feb,2016,Tere Bin Laden: Dead or Alive,Abhishek Sharma,"Manish Paul, Sikander Kher, Pradhuman Singh, Ali Zafar, Sugandha Ram",Comedy,140,37.5
4,Mar,2016,Zubaan,Mozez Singh,"Vicky Kaushal, Sarah Jane Dias, Raghav Chanana",Drama,6,38
4,Mar,2016,Jai Gangaajal,Prakash Jha,"Priyanka Chopra, Anuj Aggarwal, Prakash Jha, Rahul Bhatt",Action/drama,300,380
11,Mar,2016,Global Baba,Manoj Sidheshwari Tewari,"Abhimanyu Singh, Sandeepa Dhar, Ravi Kishan, Pankaj Tripathi, Sanjay Mishra, Akhilendra Mishra",Satire,41,22
11,Mar,2016,Teraa Surroor,Shawn Arranha,"Himesh Reshammiya, Farah Karimi, Monica Dogra, Naseeruddin Shah, Shekhar Kapur",Action/romance/thriller,65,141.5
11,Mar,2016,OK Mein Dhokhe,Utpal S. Chaudhary,"Zoya Rathore, Sapan Krishna, Vaidhei Singh, Megha Verma, Ravi Thakur, Milan Singh",Drama/thriller,110,32
18,Mar,2016,Kapoor & Sons,Shakun Batra,"Sidharth Malhotra, Alia Bhatt, Fawad Khan, Rishi Kapoor",Drama/comedy,370,730.3
25,Mar,2016,Rocky Handsome,Nishikant Kamat,"John Abraham, Shruti Haasan, Nathalia Kaur",Action,420,264.1
8,Apr,2016,Ki & Ka,R. Balki,"Kareena Kapoor, Arjun Kapoor, Amitabh Bachchan, Jaya Bachchan",Romance/comedy,300,1
9,Apr,2016,Love Games,Vikram Bhatt,"Patralekha, Tara Alisha Berry, Gaurav Arora",Thriller,140,33.5
15,Apr,2016,The Blueberry Hunt,Anup Kurien,"Naseeruddin Shah, Vipin Sharma, Vinay Forrt",Thriller,12,3
22,Apr,2016,Fan,Maneesh Sharma,"Shah Rukh Khan, Waluscha de Sousa, Sayani Gupta, Shriya Pilgaonkar",Action/drama/thriller,1050,850
22,Apr,2016,Nil Battey Sannata,Ashwini Iyer Tiwari,"Swara Bhaskar, Ratna Pathak, Pankaj Tripathi, Sanjay Suri",Comedy/drama,26,14
22,Apr,2016,Laal Rang,Syed Ahmad Afzal,"Randeep Hooda, Akshay Oberoi, Rajneesh Duggal, Piaa Bajpai",Action,44,67
29,Apr,2016,Santa Banta Pvt Ltd,Akashdeep Sabir,"Vir Das, Boman Irani, Ram Kapoor, Neha Dhupia, Lisa Haydon",Comedy,50,70
29,Apr,2016,Baaghi,Sabbir Khan,"Tiger Shroff, Shraddha Kapoor, Sudheer Babu, Sunil Grover",Action,470,760
6,May,2016,Shortcut Safari,Amitabha Singh,"Jimmy Shergill, Aashi Rawal, Sharvil Patel, Mann Patel, Ugam Khetani, Stuti Dwivedi, Deah Tandon, Hardil Kanaba","Adventure, drama",6,64
6,May,2016,One Night Stand,Jasmine Moses D'Souza,"Sunny Leone, Tanuj Virwani, Nyra Banerjee",Thriller,14,63
6,May,2016,Traffic,Rajesh Pillai,"Manoj Bajpayee, Jimmy Sheirgill, Divya Dutta, Kitu Gidwani, Prosenjit Chatterjee, Sachin Khedekar, Nikita Thukral, Vishal Singh, Parambrata Chatterjee",Thriller,49,17
13,May,2016,1920 London,Tinu Suresh Desai,"Sharman Joshi, Meera Chopra, Vishal Karwal",Horror,120,146.2
13,May,2016,Azhar,Tony D'Souza,"Emraan Hashmi, Nargis Fakhri, Prachi Desai, Gautam Gulati, Kunaal Roy Kapur, Lara Dutta, Karanvir Sharma",Biopic,380,330
13,May,2016,Buddha in a Traffic Jam,Vivek Agnihotri,"Arunoday Singh, Mahie Gill, Anchal Dwivedi, Pallavi Joshi, Anupam Kher",Political drama,54,15
16,May,2016,Khel Toh Ab Shuru Hoga,Kunal V Singh,"Ruslaan Mumtaz, Devshi Khanduri",Action,43,10
20,May,2016,Dear Dad,Tanuj Bhramar,"Arvind Swamy, Himanshu Sharma, Ekavali Khanna",Drama,68,10
20,May,2016,Kaptaan,Mandeep Kumar,"Gippy Grewal, Karishma Kotak, Rishaan Dutta",Comedy,40,19
27,May,2016,Sarbjit,Omung Kumar,"Aishwarya Rai, Randeep Hooda, Richa Chadha",Biopic,300,290
27,May,2016,Phobia,Pawan Kripalani,"Radhika Apte, Satyadeep Misra",Thriller,52,25
27,May,2016,Veerappan,Ram Gopal Varma,"Sandeep Bharadwaj, Lisa Ray, Sachiin Joshi, Zarine Khan, Usha Jadhav",Action,71,90
27,May,2016,Fredrick,Rajesh Butalia,"Prashant Narayanan, Avinash Dhyani, KK,",Action/psychological thriller,32,43
3,Jun,2016,Waiting,Anu Menon,"Naseeruddin Shah, Kalki Koechlin, Arjun Mathur, Rajat Kapoor, Suhasini Maniratnam",Drama,45,57
10,Jun,2016,Housefull 3,Sajid-Farhad,"Akshay Kumar, Abhishek Bachchan, Riteish Deshmukh, Jacqueline Fernandez, Lisa Haydon, Nargis Fakhri, Nikitin Dheer",Comedy,850,1077
10,Jun,2016,Do Lafzon Ki Kahani,Deepak Tijori,"Randeep Hooda, Kajal Aggarwal",Romantic,18,32.5
10,Jun,2016,Dhanak,Nagesh Kukunoor,"Hetal Gadda, Krrish Chabbria, Vipin Sharma, Vibha Chibber, Vijay Maurya",Drama,18,55
17,Jun,2016,Te3n,Ribhu Dasgupta,"Amitabh Bachchan, Vidya Balan, Nawazuddin Siddiqui",Thriller,280,178
17,Jun,2016,Udta Punjab,Abhishek Chaubey,"Shahid Kapoor, Alia Bhatt, Kareena Kapoor, Diljit Dosanjh",Crime,48,596
24,Jun,2016,Luv U Alia,Indrajit Lankesh,"Bhumika Chawla, V. Ravichandran, Sudeep, Sunny Leone, Chandan Kumar, Sangeeta Chauhan",Romance,73,26
24,Jun,2016,Raman Raghav 2.0,Anurag Kashyap,"Nawazuddin Siddiqui, Vicky Kaushal, Sobhita Dhulipala",Crime/thriller,70,50.8
24,Jun,2016,Junooniyat,Vivek Agnihotri,"Pulkit Samrat, Yami Gautam, Gulshan Devaiah, Hrishita Bhatt",Romance,0,40
24,Jun,2016,7 Hours To Go,Saurabh Varma,"Shiv Pandit, Sandeepa Dhar, Natasa Stankovic, Varun Badola",Crime/thriller,48,48
24,Jun,2016,A Scandall,Ishaan Shrivedi,"Manav Kaul, Tanvi Vyas",Adult,14,33
24,Jun,2016,Rough Book,Ananth Narayan Mahadevan,"Amaan Khan, Tannishtha Chatterjee",Drama,5,18
6,Jul,2016,Shorgul,"Pranav Kumar Singh, Jitendra Tiwari","Jimmy Sheirgill, Suha Gezen, Ashutosh Rana, Narendra Jha",Political/drama,56,60
6,Jul,2016,Dil Toh Deewana Hai,Raja Bundela,"Haider Khan, Sadha, Raj Babbar, Zeenat Aman, Sushmita Mukherjee, Alok Nath, Hemant Pandey",Comedy/romance,45,38
6,Jul,2016,Sultan,Ali Abbas Zafar,"Salman Khan, Anushka Sharma, Randeep Hooda, Amit Sadh",Sports/drama,900,3004.5
15,Jul,2016,Brahman Naman,Qaushiq Mukherjee,"Shashank Arora, Sid Mallya, Denzil Smith, Biswa Kalyan Rath, Tanmay Dhananiya, Vaishwath Shankar",Comedy,40,5
22,Jul,2016,Great Grand Masti,Indra Kumar,"Vivek Oberoi, Riteish Deshmukh, Aftab Shivdasani, Urvashi Rautela, Shraddha Das, Mishti, Pooja Bose, Sonali Raut, Shreyas Talpade",Comedy,420,130
22,Jul,2016,Madaari,Nishikant Kamat,"Irrfan Khan, Jimmy Sheirgill",Drama,240,180.7
22,Jul,2016,Ishq Click,Anil Ballani,"Adhyayan Suman, Sara Loren",Romance/drama,69,40
22,Jul,2016,M Cream,Agneya Singh,"Imaad Shah, Ira Dubey, Raaghav Chanana",Road movie,63,33
29,Jul,2016,Kabali,Pa. Ranjith,"Rajinikanth, Winston Chao, Radhika Apte",Action,900,240
29,Jul,2016,Dishoom,Rohit Dhawan,"John Abraham, Varun Dhawan, Jacqueline Fernandez, Saqib Saleem, Ram Kapoor, Nargis Fakhri, Akshaye Khanna",Action,650,700
5,Aug,2016,Love Ke Funday,Indervesh Yogee,"Shaleen Bhanot, Pooja Banerjee",Comedy,71,21
5,Aug,2016,The Legend of Michael Mishra,Manish Jha,"Arshad Warsi, Aditi Rao Hydari, Boman Irani, Kayoze Irani",Romance/drama,72,55
5,Aug,2016,Fever,Rajeev Jhaveri,"Rajeev Khandelwal, Gauhar Khan, Gemma Atkinson, Victor Banerjee, Caterina Murino, Ankita Makwana",Thriller,46,64
12,Aug,2016,Hai Apna Dil Toh Awara,Monjoy Mukerji,Sahil Anand,Comedy/romance,19,4
12,Aug,2016,Mohenjo Daro,Ashutosh Gowariker,"Hrithik Roshan, Pooja Hegde, Kabir Bedi, Arunoday Singh, Sharad Kelkar",Drama,1150,580
19,Aug,2016,Rustom,Tinu Suresh Desai,"Akshay Kumar, Ileana D'Cruz, Esha Gupta, Arjan Bajwa",Romance/thriller,650,1274.9
25,Aug,2016,Happy Bhaag Jayegi,Mudassar Aziz,"Abhay Deol, Diana Penty, Momal Sheikh, Ali Fazal, Jimmy Sheirgill",Comedy,180,288.2
25,Aug,2016,Waarrior Savitri,Param Gill,"Niharica Raizada, Lucy Pinder, Rajat Barmecha",Action,36,74
