Release Date,Month,Title,Director,Cast,Genre,Studio,Budget,Box Office
21,Jul,Lipstick Under My Burkha,Alankrita Shrivastava,"Konkona Sen Sharma, Ratna Pathak Shah , Aahana Kumra","Sex,Drama",ALT Balaji,70,192.5
21,Jul,Munna Michael,Sabbir Khan,"Tiger Shroff, Nidhhi Agerwal , Nawazuddin Siddiqui","Action,Romance",Eros International and Next Gen Films,400,329
28,Jul,Indu Sarkar,Madhur Bhandarkar,"Anupam Kher, Neil Nitin Mukesh, Kirti Kulhari, Tota Roy Chowdhury, Supriya Vinod, Sheeba Chaddha, Parvin Dabas",Drama,Bharat Shah,100,49.5
28,Jul,Mubarakan,Anees Bazmee,"Anil Kapoor, Arjun Kapoor, Ileana D'Cruz , Athiya Shetty","Comedy,Romance",Cine1 Studios Mark Production,700,556
28,Jul,Raag Desh : Birth Of A Nation,Tigmanshu Dhulia,"Kunal Kapoor, Amit Sadh , Mohit Marwah","Period Drama,Action",Rajya Sabha TV,100,6.5
04,Aug,Gurgaon,Shanker Raman,"Akshay Oberoi, Ragini Khanna, Pankaj Tripathi, Aamir Bashir, Shalini Vatsa, Srinivas Sunderrajan",Thriller,JAR Pictures,45,67
04,Aug,Jab Harry Met Sejal,Imtiaz Ali,"Shah Rukh Khan, Anushka Sharma, Evelyn Sharma , Chandan Roy Sanyal",Romance,Red Chillies Entertainment,800,643.5
11,Aug,Toilet: Ek Prem Katha,Shree Narayan Singh,"Akshay Kumar, Bhumi Pednekar, Divyendu Sharma, Anupam Kher, Sana Khan","Comedy,Drama","Viacom 18 Motion Pictures, KriArj Entertainment, Neeraj Pandey, Plan C Studios and Cape of Good Films LLP",400,1342.5
18,Aug,Bareilly Ki Barfi,Ashwini Iyer Tiwari,"Ayushmann Khurrana, Rajkummar Rao, Kriti Sanon","Comedy,Romance",Junglee Pictures and BR Studios,220,345
18,Aug,Partition: 1947,Gurinder Chadha,"Hugh Bonneville, Gillian Anderson, Manish Dayal, Huma Qureshi , Michael Gambon",Drama,BBC Films,0,0
18,Aug,Yeh Hai India,Lom Harsh,"Gavie Chahal, Deana Uppal, Mohan Agashe, Mohan Joshi","Patriotic,Drama",DLB Films Pvt. Ltd.,0,0
25,Aug,A Gentleman,Raj and D.K.,"Sidharth Malhotra, Jacqueline Fernandez, Darshan Kumar, Suniel Shetty","Action,Romance",Fox Star Studios,600,260
25,Aug,Babumoshai Bandookbaaz,Kushan Nandy,"Nawazuddin Siddiqui, Bidita Bag, Jatin Goswami, Shraddha Das, Anil George, Bhagwan Tiwari, Jeetu Shivhare, Murali Sharma, Divya Dutta, Sachin Chaubey",Action,Movies By The Mob and KNKSPL,140,131.5
25,Aug,Qaidi Band,Habib Faisal,"Aadar Jain, Anya Singh, Sachin, Prince Parvinder Singh","Musical,Drama",Yash Raj Films,200,4
25,Aug,Yadvi – The Dignified Princess,Jyoti Singh,"Chandrachur Singh, Charu Vyas, Rahul Godara, Jyoti Singh, Vibhu Raghave, Namya Saxena, Nikkitasha Marwaha, Reshaa Sabarawal, Mini Pandit, Ashwarya Singh",Drama,RVP Productions,0,0
01,Sep,Baadshaho,Milan Lutharia,"Ajay Devgn, Emraan Hashmi, Vidyut Jammwal, Ileana D'Cruz, Esha Gupta, Sanjay Mishra, Sunny Leone Guest appearance in song, Sharad Kelkar, Ravi Kale","Action,crime Thriller",Vertex Motion Pictures and T Series,1000,781
