,Release Date,Title,Director,Cast,Genre,Studio
68,04-Aug,Jab Harry Met Sejal,Imtiaz Ali,"Shah Rukh Khan, Anushka Sharma, Evelyn Sharma , Chandan Roy Sanyal",Romance,Red Chillies Entertainment
69,11-Aug,Toilet: Ek Prem Katha,Shree Narayan Singh,"Akshay Kumar, Bhumi Pednekar, Divyendu Sharma, Anupam Kher, Sana Khan","Comedy,drama","Viacom 18 Motion Pictures, KriArj Entertainment, Neeraj Pandey, Plan C Studios and Cape of Good Films LLP"
70,18-Aug,Yeh Hai India,Lom Harsh,"Gavie Chahal, Deana Uppal, Mohan Agashe, Mohan Joshi","Patriotic,drama",DLB Films Pvt. Ltd.
71,18-Aug,Partition: 1947,Gurinder Chadha,"Hugh Bonneville, Gillian Anderson, Manish Dayal, Huma Qureshi , Michael Gambon",Drama,BBC Films
72,18-Aug,Bareilly Ki Barfi,Ashwini Iyer Tiwari,"Ayushmann Khurrana, Rajkummar Rao, Kriti Sanon","Comedy,romance",Junglee Pictures and BR Studios
73,25-Aug,A Gentleman,Raj and D.K.,"Sidharth Malhotra, Jacqueline Fernandez, Darshan Kumar, Suniel Shetty","Action,romance",Fox Star Studios
74,25-Aug,Babumoshai Bandookbaaz,Kushan Nandy,"Nawazuddin Siddiqui, Bidita Bag, Jatin Goswami, Shraddha Das, Anil George, Bhagwan Tiwari, Jeetu Shivhare, Murali Sharma, Divya Dutta, Sachin Chaubey",Action,Movies By The Mob and KNKSPL
75,25-Aug,Yadvi  The Dignified Princess,Jyoti Singh,"Chandrachur Singh, Charu Vyas, Rahul Godara, Jyoti Singh, Vibhu Raghave, Namya Saxena, Nikkitasha Marwaha, Reshaa Sabarawal, Mini Pandit, Ashwarya Singh",Drama,RVP Productions
76,25-Aug,Qaidi Band,Habib Faisal,"Aadar Jain, Anya Singh, Sachin, Prince Parvinder Singh","Musical,drama",Yash Raj Films
77,01-Sep,Baadshaho,Milan Lutharia,"Ajay Devgn, Emraan Hashmi, Vidyut Jammwal, Ileana D'Cruz, Esha Gupta, Sanjay Mishra, Sunny Leone Guest appearance in song, Sharad Kelkar, Ravi Kale","Action,crime Ttriller",Vertex Motion Pictures and T Series
